ko_mb,ku_naziv,ZUP_NAZIV,ZUP_SJEDIS,Sumarija,USP,ko_fix,Sumariafix
"314030",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Ramljane,Knin
"313963",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Orlić,Knin
"313793",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Civljane,Knin
"313785",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Cetina,Knin
"313602",Kaštel Sućurac,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Trolokve,Split
"313599",Kaštel Sućurac,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Sitno,Split
"313564",Kaštel Sućurac,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Primorski Dolac,Split
"313548",Kaštel Sućurac,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Lećevica,Split
"313521",Kaštel Sućurac,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Kladnjice,Split
"313432",Kaštel Sućurac,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Divojevići,Split
"313424",Kaštel Sućurac,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Bogdanovići,Split
"306096",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Žitnić,Drniš
"306088",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Visoka,Drniš
"306070",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Velušić,Drniš
"306061",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Unešić,Drniš
"306053",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Umljanović,Drniš
"306045",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Trbounje,Drniš
"306037",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Tepljuh,Drniš
"306029",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Štikovo,Drniš
"306002",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Širitovci,Drniš
"305995",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Suknovci,Drniš
"305987",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Siverić,Drniš
"305979",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Sedramić,Drniš
"305952",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Ružić,Drniš
"305944",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Razvođe,Drniš
"305936",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Radonić,Drniš
"305928",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Puljane,Drniš
"305910",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Pokrovnik,Drniš
"305901",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Podumci,Drniš
"305898",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Planjane,Drniš
"305880",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Parčić,Drniš
"305871",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Pakovo Selo,Drniš
"305863",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Otavice,Drniš
"305855",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Ostrogašica,Drniš
"305847",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Oklaj,Drniš
"305839",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Nevest,Drniš
"305812",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Mratovo,Drniš
"305804",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Moseć,Drniš
"305782",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Mirlović Zagora,Drniš
"305774",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Mirlović Polje,Drniš
"305766",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Miočić,Drniš
