USP;Sumarija;GJ;Odsjek;KO;KC;Povrsina;stranica;odluka;napomena;ko_mb
Split;Sinj;Èemernica;1813;Košute;d.919;5;2;1;NA;325694
Split;Sinj;Èemernica;30b;Vojniæ;139/1;5;2;1;NA;325970
Split;Sinj;Èemernica;30b;Vojniæ;1257;5;2;1;NA;325970
Split;Sinj;Èemernica;32b;Vojniæ;d.177/1;5;2;1;NA;325970
Split;Sinj;Kopršnica;1b;Vedrine;2557/1;4;2;1;NA;325945
Split;Benkovac;Debelo brdo;dio 17;Gornje biljane;d.1440/1;10;2;1;Korlat Biljane Gornje;300489
Split;Benkovac;Debelo brdo;dio 17;Gornje biljane;980/1;10;2;1;Korlat Biljane Gornje;300489
Split;Benkovac;Debelo brdo;dio 17;Gornje biljane;980/2;10;2;1;Korlat Biljane Gornje;300489
Split;Benkovac;Debelo brdo;dio 17;Gornje biljane;1152/1;10;2;1;Korlat Biljane Gornje;300489
Split;Benkovac;Debelo brdo;dio 17;Gornje biljane;1152/2;10;2;1;Korlat Biljane Gornje;300489
Split;Benkovac;Debelo brdo;dio 18;Gornje biljane;d.1440/1;25;2;1;Korlat Biljane Gornje;300489
Split;Benkovac;Debelo brdo;dio 18;Gornje biljane;d.1439;25;2;1;Korlat Biljane Gornje;300489
Split;Benkovac;Debelo brdo;dio 18;Gornje biljane;1152/4;25;2;1;Korlat Biljane Gornje;300489
Split;Benkovac;Debelo brdo;dio 18;Gornje biljane;1152/5;25;2;1;Korlat Biljane Gornje;300489
Split;Benkovac;Debelo brdo;dio 18;Gornje biljane;1153;25;2;1;Korlat Biljane Gornje;300489
Split;Benkovac;Debelo brdo;30;Korlat;d.1396/1;43.17;2;1;NA;300535
Split;Benkovac;Debelo brdo;30;Korlat;d.1440/1;43.17;2;1;NA;300535
Split;Benkovac;Debelo brdo;31;Korlat;d.1437;42.27;2;1;NA;300535
Split;Benkovac;Debelo brdo;31;Korlat;d.1438;42.27;2;1;NA;300535
Split;Benkovac;Debelo brdo;31;Korlat;d.1439;42.27;2;1;NA;300535
Split;Benkovac;Debelo brdo;31;Korlat;d.1440/1;42.27;2;1;NA;300535
Split;Benkovac;Debelo brdo;32;Korlat;d.1440/1;103;2;1;NA;300535
Split;Benkovac;Debelo brdo;33;Korlat;d.1396/1;103;2;1;NA;300535
Split;Benkovac;Debelo brdo;33;Korlat;d.1440/1;103;2;1;NA;300535
Split;Benkovac;Debelo brdo;dio 34;Korlat;d.1440/1;103;2;1;NA;300535
Split;Benkovac;Debelo brdo;dio 35;Korlat;d.1396/1;103;2;1;NA;300535
Split;Benkovac;Debelo brdo;dio 35;Korlat;d.1440/1;103;2;1;NA;300535
Split;Benkovac;Debelo brdo;dio 36;Korlat;d.1396/1;103;2;1;NA;300535
Split;Benkovac;Debelo brdo;dio 44;Korlat;d.1396/1;103;2;1;NA;300535
Split;Benkovac;Debelo brdo;dio 3a;Donje biljane;1097/1;10;2;1;Biljane Donje;300454
Split;Benkovac;Debelo brdo;dio 6;Donje biljane;856/1;15;2;1;Biljane Donje;300454
Split;Benkovac;Polaèa;neureðen;Nadin;1081/1;1.65;2;1;NA;300586
Split;Benkovac;Polaèa;neureðen;Nadin;1015/46;4.5;2;1;NA;300586
Split;Benkovac;Polaèa;neureðen;Nadin;1015/46;2;2;1;NA;300586
Split;Benkovac;Polaèa;neureðen;Nadin;1015/47;2;2;1;NA;300586
Split;Benkovac;Polaèa;neureðen;Rašteviæ;1262/1;4.5;2;1;NA;300675
Split;Benkovac;Polaèa;neureðen;Rašteviæ;986/30;3;2;1;NA;300675
Split;Korèula;Škanja rat;24b;Blato;28362/1;4.25;2;1;Dubrovnik;306126
Split;Korèula;Škanja rat;24b;Blato;28362/1;4.25;2;1;Dubrovnik;306126
Split;Korèula;Škanja rat;24b;Blato;28362/1;4.25;2;1;Dubrovnik;306126
