USP;Sumarija;GJ;Odsjek;KO;KC;Povrsina;stranica;odluka;napomena
Split;Drniš;Promina;60a;Oklaj;1273/1;9.38;3;1;
Split;Imotski;Badnjevica;38;Imotski-Glavina;702/1, 702/6, 70277, 702/8, 702/9, 702/10, 702/11, 1760/2, 1760/3, 1735;18.37;4;1;
Split;Imotski;Orljača;75;Zagvozd;d.9274/104, d.9275/105;63.32;4;1;
Split;Imotski;Maglaj Kruškovnik;58;Lovreć;1305, 1331/3, 2961/1, 2301/1;41.18;4;1;
Split;Šibenik;Konjička draga;7;Vrpolje;1391;54.12;4;1;
Split;Šibenik;Prhovo;neuređen;Primošten;16818/1;7.94;4;1;
Split;Šibenik;Prhovo;neuređen;Boraja;1130/1;23;4;1;
Split;Šibenik;Jelinjak;37;Jadrtovac;2130/1, 2130/2;54.2;4;1;
Split;Šibenik;Jelinjak;38;Jadrtovac;2130/1, 2130/2;44.2;4;1;
Split;Šibenik;Jamina;24;Vrpolje;2130/4;60.94;4;1;
Split;Šibenik;Jamina;25;Vrpolje;2130/4;22.08;4;1;
Split;Šibenik;Čista;neuređeno;Čista;2019/3;22;4;1;
Split;Šibenik;Trtar;27c;Lozovac;995;15.51;4;1;
Split;Makarska;Bašćanski Gaj;17d;Bast-Baška Voda;2832, 2833/1, 2834/2, 2984, 2985, d.2986/1;4.91;4;1;
Split;Makarska;Bašćanski Gaj;20a;Bast-Baška Voda;d.2830, d.2831/1, 6966/1, 6966/2;9.67;4;1;
Split;Makarska;Bašćanski Gaj;20b;Bast-Baška Voda;d.2830,d.6965/1;3.5;4;1;
Split;Makarska;Bašćanski Gaj;20c;Bast-Baška Voda;d.2830,d.6965/1;4.92;4;1;
Split;Makarska;Bašćanski Gaj;20d;Bast-Baška Voda;d.2830,d.6965/1;3.14;4;1;
Split;Makarska;Bašćanski Gaj;21a;Bast-Baška Voda;d.5922/21, d.6965/1;6.85;4;1;
Split;Makarska;Bašćanski Gaj;21b;Bast-Baška Voda;d.5922/21, d.6965/1;21.8;4;1;
Split;Makarska;Bašćanski Gaj;dio 26b;Bast-Baška Voda;d.2830, d.5922/23, d.6965/1, d.6967/1;20;4;1;
Split;Makarska;Drvenik Plana;25d;Drvenik;947, 948, 3348, 3349;9.4;4;1;
Split;Vrgorac;Matokit;56b;Dusina;d.5275/25;20.7;4;1;
Split;Vrgorac;Matokit;56b;Vrgorac;d.5290/1;20.7;4;1;
Split;Zadar;Nin - Kožino;81c;Diklo;d.766/51, 766/55, 766/65, d.766/395, d.766/396, d.766/403;12.42;4;1;
Split;Zadar;Škabrnja;neuređen;Škabrnje;193;18.56;4;1;
